Name,Address,Full Address,Date/Time,District,Station,Shift,Incident Type,Units
F02604120037,2308 PARKWOOD Avenue,"2308 PARKWOOD Avenue, Richmond, VA",2026-04-12 10:31:35,12,,,Trash / rubbish fire,"T7, T3, E5, E6, BC2, BC3, E18, E10, E12, AL1, REHAB1"
F02604080068,101 YANCEY Street,"101 YANCEY Street, Richmond, VA",2026-04-08 14:36:18,5,Station 10,A Shift,Structural involvement,"T3, SAFETY1, E5, E17, E15, BR1, E14, BC3, BC1, T6, E10, E6, AL1, REHAB1"
F02604080002,1400 W MARSHALL Street,"1400 W MARSHALL Street, Richmond, VA",2026-04-08 02:25:11,10,Station 10,B Shift,Structural involvement,"E10, AL1, T6, T3, E5, E6, SAFETY1, E18, E14, E12, BC2, BC1, REHAB1"
F02604070078,2702 LOCHAVEN Boulevard,"2702 LOCHAVEN Boulevard, Richmond, VA",2026-04-07 16:17:15,21,,B Shift,Structural involvement,"E21, T10, BC4, T8, E22, SAFETY1, E20, E17, E13, BC3, REHAB1, AL1"
F02604060015,2201 DINWIDDIE Avenue,"2201 DINWIDDIE Avenue, Richmond, VA",2026-04-06 03:56:32,13,Station 13,A Shift,Structural involvement,"T10, TOWER5, BC3, SAFETY1, E22, BC1, E21, E20, E17, E13, AL1"
F02604030048,2001 MECHANICSVILLE,"2001 MECHANICSVILLE, Richmond, VA",2026-04-03 14:47:51,11,Station 15,A Shift,Structural involvement,"T6, T2, SAFETY1, E6, E5, E11, E15, BC1, BC3, E1, AL1, REHAB1"
F02603310112,2011 Rosewood Avenue,"2011 Rosewood Avenue, Richmond, VA",2026-03-31 22:05:44,12,Station 12,C Shift,"Other outside fire, Confined cooking / appliance fire","T7, SAFETY1, T3, E6, E5, E18, E14, E12, BC3, BC2, AL1, REHAB1"
F02603300011,1136 W Grace Street,"1136 W Grace Street, Richmond, VA",2026-03-30 03:28:16,10,Station 10,B Shift,Structural involvement,"T6, T3, SAFETY1, E5, E14, E18, E10, E12, BC3, BC2, AL1, REHAB1"
F02603290081,5613 Jarvis Road,"5613 Jarvis Road, Richmond, VA",2026-03-29 17:55:55,23,Station 23,B Shift,Structural involvement,"T8, T10, E5, E25, E12, E1, BC4, BC1, E13, SAFETY1, E24, E22, TOWER5, E21, E6, E20, BC3, AL1, REHAB1"
F02603290021,900 Terminal Place,"900 Terminal Place, Richmond, VA",2026-03-29 05:56:42,10,Station 10,A Shift,"Structural involvement, Room and contents fire","T3, T7, SAFETY1, E6, E18, E5, E14, E12, E10, BC3, BC1, AL1, REHAB1, TOWER5, T6, BC4, E19, E16, E1, E15"
F02603270039,478 Westover Hills Boulevard,"478 Westover Hills Boulevard, Richmond, VA",2026-03-27 12:21:17,20,Station 20,B Shift,Confined cooking / appliance fire,"BC2, TOWER5, T8, SAFETY1, E24, E22, E17, E20, E13, BC3, BC1, AL1, REHAB1"
